Date,IndexLevel,IndexName
2/18/14,1840.76,S&P500
2/19/14,1828.75,S&P500
2/20/14,1839.78,S&P500
2/21/14,1836.25,S&P500
2/24/14,1847.61,S&P500
2/25/14,1845.12,S&P500
2/26/14,1845.16,S&P500
2/27/14,1854.29,S&P500
2/28/14,1859.45,S&P500
3/3/14,1845.73,S&P500
3/4/14,1873.91,S&P500
3/5/14,1873.81,S&P500
3/6/14,1877.03,S&P500
3/7/14,1878.04,S&P500
3/10/14,1877.17,S&P500
3/11/14,1867.63,S&P500
3/12/14,1868.2,S&P500
3/13/14,1846.34,S&P500
3/14/14,1841.13,S&P500
3/17/14,1858.83,S&P500
3/18/14,1872.25,S&P500
3/19/14,1860.77,S&P500
3/20/14,1872.01,S&P500
3/21/14,1866.52,S&P500
3/24/14,1857.44,S&P500
3/25/14,1865.62,S&P500
3/26/14,1852.56,S&P500
3/27/14,1849.04,S&P500
3/28/14,1857.62,S&P500
3/31/14,1872.34,S&P500
4/1/14,1885.52,S&P500
4/2/14,1890.9,S&P500
4/3/14,1888.77,S&P500
4/4/14,1865.09,S&P500
4/7/14,1845.04,S&P500
4/8/14,1851.96,S&P500
4/9/14,1872.18,S&P500
4/10/14,1833.08,S&P500
4/11/14,1815.69,S&P500
4/14/14,1830.61,S&P500
4/15/14,1842.98,S&P500
4/16/14,1862.31,S&P500
4/17/14,1864.85,S&P500
4/21/14,1871.89,S&P500
4/22/14,1879.55,S&P500
4/23/14,1875.39,S&P500
4/24/14,1878.61,S&P500
4/25/14,1863.4,S&P500
4/28/14,1869.43,S&P500
4/29/14,1878.33,S&P500
4/30/14,1883.95,S&P500
5/1/14,1883.68,S&P500
5/2/14,1881.14,S&P500
5/5/14,1884.66,S&P500
5/6/14,1867.72,S&P500
5/7/14,1878.21,S&P500
5/8/14,1875.63,S&P500
5/9/14,1878.48,S&P500
5/12/14,1896.65,S&P500
5/13/14,1897.45,S&P500
5/14/14,1888.53,S&P500
5/15/14,1870.85,S&P500
5/16/14,1877.86,S&P500
5/19/14,1885.08,S&P500
5/20/14,1872.83,S&P500
5/21/14,1888.03,S&P500
5/22/14,1892.49,S&P500
5/23/14,1900.53,S&P500
5/27/14,1911.91,S&P500
5/28/14,1909.78,S&P500
5/29/14,1920.03,S&P500
5/30/14,1923.57,S&P500
6/2/14,1924.97,S&P500
6/3/14,1924.24,S&P500
6/4/14,1927.88,S&P500
6/5/14,1940.46,S&P500
6/6/14,1949.44,S&P500
6/9/14,1951.27,S&P500
6/10/14,1950.79,S&P500
6/11/14,1943.89,S&P500
6/12/14,1930.11,S&P500
6/13/14,1936.16,S&P500
6/16/14,1937.78,S&P500
6/17/14,1941.99,S&P500
6/18/14,1956.98,S&P500
6/19/14,1959.48,S&P500
6/20/14,1962.87,S&P500
6/23/14,1962.61,S&P500
6/24/14,1949.98,S&P500
6/25/14,1959.53,S&P500
6/26/14,1957.22,S&P500
6/27/14,1960.96,S&P500
6/30/14,1960.23,S&P500
7/1/14,1973.32,S&P500
7/2/14,1974.62,S&P500
7/3/14,1985.44,S&P500
7/7/14,1977.65,S&P500
7/8/14,1963.71,S&P500
7/9/14,1972.83,S&P500
7/10/14,1964.68,S&P500
7/11/14,1967.57,S&P500
7/14/14,1977.1,S&P500
7/15/14,1973.28,S&P500
7/16/14,1981.57,S&P500
7/17/14,1958.12,S&P500
7/18/14,1978.22,S&P500
7/21/14,1973.63,S&P500
7/22/14,1983.53,S&P500
7/23/14,1987.01,S&P500
7/24/14,1987.98,S&P500
7/25/14,1978.34,S&P500
7/28/14,1978.91,S&P500
7/29/14,1969.95,S&P500
7/30/14,1970.07,S&P500
7/31/14,1930.67,S&P500
8/1/14,1925.15,S&P500
8/4/14,1938.99,S&P500
8/5/14,1920.21,S&P500
8/6/14,1920.24,S&P500
8/7/14,1909.57,S&P500
8/8/14,1931.59,S&P500
8/11/14,1936.92,S&P500
8/12/14,1933.75,S&P500
8/13/14,1946.72,S&P500
8/14/14,1955.18,S&P500
8/15/14,1955.06,S&P500
8/18/14,1971.74,S&P500
8/19/14,1981.6,S&P500
8/20/14,1986.51,S&P500
8/21/14,1992.37,S&P500
8/22/14,1988.4,S&P500
8/25/14,1997.92,S&P500
8/26/14,2000.02,S&P500
8/27/14,2000.12,S&P500
8/28/14,1996.74,S&P500
8/29/14,2003.37,S&P500
9/2/14,2002.28,S&P500
9/3/14,2000.72,S&P500
9/4/14,1997.65,S&P500
9/5/14,2007.71,S&P500
9/8/14,2001.54,S&P500
9/9/14,1988.44,S&P500
9/10/14,1995.69,S&P500
9/11/14,1997.45,S&P500
9/12/14,1985.54,S&P500
9/15/14,1984.13,S&P500
9/16/14,1998.98,S&P500
9/17/14,2001.57,S&P500
9/18/14,2011.36,S&P500
9/19/14,2010.4,S&P500
9/22/14,1994.29,S&P500
9/23/14,1982.77,S&P500
9/24/14,1998.3,S&P500
9/25/14,1965.99,S&P500
9/26/14,1982.85,S&P500
9/29/14,1977.8,S&P500
9/30/14,1972.29,S&P500
10/1/14,1946.16,S&P500
10/2/14,1946.17,S&P500
10/3/14,1967.9,S&P500
10/6/14,1964.82,S&P500
10/7/14,1935.1,S&P500
10/8/14,1968.89,S&P500
10/9/14,1928.21,S&P500
10/10/14,1906.13,S&P500
10/13/14,1874.74,S&P500
10/14/14,1877.7,S&P500
10/15/14,1862.49,S&P500
10/16/14,1862.76,S&P500
10/17/14,1886.76,S&P500
10/20/14,1904.01,S&P500
10/21/14,1941.28,S&P500
10/22/14,1927.11,S&P500
10/23/14,1950.82,S&P500
10/24/14,1964.58,S&P500
10/27/14,1961.63,S&P500
10/28/14,1985.05,S&P500
10/29/14,1982.3,S&P500
10/30/14,1994.65,S&P500
10/31/14,2018.05,S&P500
11/3/14,2017.81,S&P500
11/4/14,2012.1,S&P500
11/5/14,2023.57,S&P500
11/6/14,2031.21,S&P500
11/7/14,2031.92,S&P500
11/10/14,2038.26,S&P500
11/11/14,2039.68,S&P500
11/12/14,2038.25,S&P500
11/13/14,2039.33,S&P500
11/14/14,2039.82,S&P500
11/17/14,2041.32,S&P500
11/18/14,2051.8,S&P500
11/19/14,2048.72,S&P500
11/20/14,2052.75,S&P500
11/21/14,2063.5,S&P500
11/24/14,2069.41,S&P500
11/25/14,2067.03,S&P500
11/26/14,2072.83,S&P500
11/28/14,2067.56,S&P500
12/1/14,2053.44,S&P500
12/2/14,2066.55,S&P500
12/3/14,2074.33,S&P500
12/4/14,2071.92,S&P500
12/5/14,2075.37,S&P500
12/8/14,2060.31,S&P500
12/9/14,2059.82,S&P500
12/10/14,2026.14,S&P500
12/11/14,2035.33,S&P500
12/12/14,2002.33,S&P500
12/15/14,1989.63,S&P500
12/16/14,1972.74,S&P500
12/17/14,2012.89,S&P500
12/18/14,2061.23,S&P500
12/19/14,2070.65,S&P500
12/22/14,2078.54,S&P500
12/23/14,2082.17,S&P500
12/24/14,2081.88,S&P500
12/26/14,2088.77,S&P500
12/29/14,2090.57,S&P500
12/30/14,2080.35,S&P500
12/31/14,2058.9,S&P500
1/2/15,2058.2,S&P500
1/5/15,2020.58,S&P500
1/6/15,2002.61,S&P500
1/7/15,2025.9,S&P500
1/8/15,2062.14,S&P500
1/9/15,2044.81,S&P500
1/12/15,2028.26,S&P500
1/13/15,2023.03,S&P500
1/14/15,2011.27,S&P500
1/15/15,1992.67,S&P500
1/16/15,2019.42,S&P500
1/20/15,2022.55,S&P500
1/21/15,2032.12,S&P500
1/22/15,2063.15,S&P500
1/23/15,2051.82,S&P500
1/26/15,2057.09,S&P500
1/27/15,2029.55,S&P500
1/28/15,2002.16,S&P500
1/29/15,2021.25,S&P500
1/30/15,1994.99,S&P500
2/2/15,2020.85,S&P500
2/3/15,2050.03,S&P500
2/4/15,2041.51,S&P500
2/5/15,2062.52,S&P500
2/6/15,2055.47,S&P500
2/9/15,2046.74,S&P500
2/10/15,2068.59,S&P500
2/11/15,2068.53,S&P500
2/12/15,2088.48,S&P500
2/13/15,2096.99,S&P500
2/17/15,2100.34,S&P500
2/18/15,2099.68,S&P500
2/19/15,2097.45,S&P500
2/20/15,2110.3,S&P500
2/23/15,2109.66,S&P500
2/24/15,2115.48,S&P500
2/25/15,2113.86,S&P500
2/26/15,2110.74,S&P500
2/27/15,2104.5,S&P500
3/2/15,2117.39,S&P500
3/3/15,2107.78,S&P500
3/4/15,2098.53,S&P500
3/5/15,2101.04,S&P500
3/6/15,2071.26,S&P500
3/9/15,2079.43,S&P500
3/10/15,2044.16,S&P500
3/11/15,2040.24,S&P500
3/12/15,2065.95,S&P500
3/13/15,2053.4,S&P500
3/16/15,2081.19,S&P500
3/17/15,2074.28,S&P500
3/18/15,2099.5,S&P500
3/19/15,2089.27,S&P500
3/20/15,2108.1,S&P500
3/23/15,2104.42,S&P500
3/24/15,2091.5,S&P500
3/25/15,2061.05,S&P500
3/26/15,2056.15,S&P500
3/27/15,2061.02,S&P500
3/30/15,2086.24,S&P500
3/31/15,2067.89,S&P500
4/1/15,2059.69,S&P500
4/2/15,2066.96,S&P500
4/6/15,2080.62,S&P500
4/7/15,2076.33,S&P500
4/8/15,2081.9,S&P500
4/9/15,2091.18,S&P500
4/10/15,2102.06,S&P500
4/13/15,2092.43,S&P500
4/14/15,2095.84,S&P500
4/15/15,2106.63,S&P500
4/16/15,2104.99,S&P500
4/17/15,2081.18,S&P500
4/20/15,2100.4,S&P500
4/21/15,2097.29,S&P500
4/22/15,2107.96,S&P500
4/23/15,2112.93,S&P500
4/24/15,2117.69,S&P500
4/27/15,2108.92,S&P500
4/28/15,2114.76,S&P500
4/29/15,2106.85,S&P500
4/30/15,2085.51,S&P500
5/1/15,2108.29,S&P500
5/4/15,2114.49,S&P500
5/5/15,2089.46,S&P500
5/6/15,2080.15,S&P500
5/7/15,2088,S&P500
5/8/15,2116.1,S&P500
5/11/15,2105.33,S&P500
5/12/15,2099.12,S&P500
5/13/15,2098.48,S&P500
5/14/15,2121.1,S&P500
5/15/15,2122.73,S&P500
5/18/15,2129.2,S&P500
5/19/15,2127.83,S&P500
5/20/15,2125.85,S&P500
